<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19941020,000000,1.2783,1.2971,1.2546,1.2711,62826101,0
AAPL.US,D,19941021,000000,1.2637,1.3255,1.2637,1.3208,92940837,0
AAPL.US,D,19941024,000000,1.3255,1.337,1.2984,1.3096,58897263,0
AAPL.US,D,19941025,000000,1.2898,1.3208,1.2872,1.3208,86828217,0
AAPL.US,D,19941026,000000,1.3208,1.3403,1.3208,1.3403,56671556,0
AAPL.US,D,19941027,000000,1.3403,1.3567,1.3169,1.3255,45910771,0
AAPL.US,D,19941028,000000,1.3145,1.3293,1.2944,1.3058,78718913,0
AAPL.US,D,19941031,000000,1.302,1.3456,1.2872,1.3383,102501670,0
AAPL.US,D,19941101,000000,1.3293,1.3479,1.3145,1.337,62813203,0
AAPL.US,D,19941102,000000,1.337,1.3403,1.2834,1.2834,63000290,0
AAPL.US,D,19941103,000000,1.2944,1.302,1.2711,1.2872,31830779,0
AAPL.US,D,19941104,000000,1.2872,1.2898,1.2404,1.2523,55310313,0
AAPL.US,D,19941107,000000,1.2523,1.2783,1.2437,1.2637,32556558,0
AAPL.US,D,19941108,000000,1.2585,1.3208,1.2475,1.3096,100504996,0
AAPL.US,D,19941109,000000,1.3255,1.3332,1.2711,1.2898,117026817,0
AAPL.US,D,19941110,000000,1.2944,1.2984,1.2711,1.2809,44059233,0
AAPL.US,D,19941111,000000,1.2783,1.2872,1.2711,1.2748,17934651,0
AAPL.US,D,19941114,000000,1.2783,1.3255,1.2783,1.3169,40214258,0
AAPL.US,D,19941115,000000,1.3169,1.3332,1.2783,1.2834,48275189,0
AAPL.US,D,19941116,000000,1.2637,1.2885,1.2585,1.2691,53971681,0
AAPL.US,D,19941117,000000,1.2676,1.2711,1.2364,1.2404,43327011,0
AAPL.US,D,19941118,000000,1.2404,1.2546,1.2275,1.2404,42346410,0
